1930	2	14	1580	6.85
1931	6	12	2430	9.12
1932	3	30	1920	7.69
1933	4	15	2990	10.5
1934	3	7	2460	9.44
1935	4	14	3060	10.72
1936	3	14	3020	10.64
1936	12	13	2590	9.31
1938	7	25	2480	8.95
1939	4	21	2040	7.92
1940	4	14	2650	9.38
1941	2	9	2080	8
1942	3	18	2080	8.05
1943	3	8	1540	6.78
1944	4	26	1430	6.56
1945	3	7	2230	8.33
1945	12	8	3080	11.57
1947	5	5	1550	6.78
1948	3	18	2480	9.57
1948	10	27	1740	7.28
1950	3	25	1250	6.05
1951	2	10	1580	6.85
1952	3	13	2460	9.5
1953	4	1	2320	9.02
1954	5	18	3040	10.42
1955	8	21	4010	13.02
1955	11	7	2860	9.97
1957	4	7	1950	7.7
1958	4	13	2020	7.87
1959	3	8	1760	7.1
1960	4	6	2240	8.29
1961	2	27	2520	9.11
1962	1	8	2940	9.84
1962	10	9	2880	9.71
1964	4	16	2540	8.85
1965	2	26	1380	6.07
1966	2	15	1450	6.58
1967	5	28	2800	9.85
1968	3	20	4980	14.48
1969	3	27	4080	12.49
1969	12	28	3820	11.9
1971	2	15	2240	8.27
1972	3	19	2450	8.77
1972	12	8	2470	8.82
1973	12	19	3330	10.8
1975	2	26	1850	7.33
1976	1	29	3230	10.57
1986	1	28	2300	
1987	4	8	3530	12.54
1988	5	28	2040	7.99
1996	10	23	3710	12.02
1998	2	26	3270	10.99
1999	2	4	2300	8.64
2000	4	24	2420	8.95
2001	3	24	3400	11.3
2002	5	15	1490	6.54
2003	4	13	2630	9.47
2004	4	3	2150	8.26
2005	3	30	3170	10.76
2005	10	17	3870	12.4
2007	4	19	3150	10.72
2008	3	10	2630	9.47
2008	12	13	2690	9.6
2010	4	1	5480	14.97
2011	2	27	1850	7.51
