1861	12	4	500000	47.00
1890	2	5	448000	45.10
1881	1	16	428000	44.30
1923	1	8	348000	30.30
1901	1	15	329000	31.50
1907	2	6	325000	31.30
1909	11	25	315000	30.50
1964	12	23	308000	37.78
1943	1	2	291000	30.60
1903	1	27	283000	28.60
1945	12	30	255000	28.35
1893	12	2	252000	26.90
1953	1	20	251000	26.17
1916	2	9	249000	26.00
1996	2	8	244000	35.09
1927	2	23	243000	24.70
1948	1	9	242000	27.47
1961	2	12	241000	25.52
1946	12	16	240000	26.72
1955	12	23	240000	25.46
1936	1	14	225000	23.80
1907	12	27	224000	24.80
1912	1	15	221000	24.50
1931	4	2	220000	23.50
1921	11	22	219000	24.60
1917	12	20	217000	24.00
1974	1	17	206000	32.32
1937	4	16	201000	22.40
1937	12	31	186000	21.50
1909	1	22	185000	22.00
1949	2	19	184000	23.24
1972	1	22	180000	30.23
1900	1	16	178000	21.50
1925	2	6	178000	20.70
1896	1	23	176000	21.30
1933	12	23	175000	20.80
1919	1	24	172000	21.00
1926	2	8	172000	20.30
1932	3	21	172000	20.55
1997	1	2	170000	29.45
2012	1	20	170000	29.36
1895	1	14	165000	20.40
1899	3	3	165000	20.40
1998	12	30	162000	28.75
1950	11	1	159000	21.10
1913	4	1	158000	19.40
1920	12	31	158000	19.80
1966	1	7	158000	26.88
1904	2	18	155000	19.50
1911	1	20	155000	19.50
1950	1	24	153000	20.57
1954	1	30	153000	19.20
1986	2	24	152000	27.81
1957	12	22	151000	19.01
1977	12	16	148000	27.47
1952	2	5	143000	18.27
1971	1	20	142000	26.91
2006	1	1	141000	26.77
1980	12	27	140000	26.75
1897	12	15	137000	17.70
1892	12	28	136000	17.60
1897	2	17	136000	17.60
1981	12	7	136000	26.40
1970	1	26	135000	25.98
1961	12	22	133000	17.13
1941	12	21	132000	19.12
1959	1	13	130000	16.83
1957	3	10	129000	16.93
1964	1	21	128000	24.65
1927	11	26	125000	16.70
1995	1	16	125000	25.34
1914	1	25	123000	16.30
1980	1	15	123000	25.07
1902	2	12	122000	16.20
1976	1	10	122000	25.00
1967	1	30	120000	23.35
1934	12	23	119000	16.56
1920	1	27	118000	15.80
1929	12	21	115000	15.80
1933	1	5	115000	16.30
1904	12	31	113000	15.30
1963	5	8	112000	22.86
2009	1	3	112000	23.79
1955	1	1	107000	14.64
1983	2	20	107000	23.23
1960	2	10	106000	14.21
1968	12	6	106000	23.04
1984	2	15	106000	23.16
1988	1	16	106000	23.16
1945	2	9	104000	15.56
1999	11	27	104000	22.96
2006	12	27	103000	22.70
2011	1	18	103000	22.68
1940	2	29	100000	14.79
1986	11	29	99700	22.36
1915	1	15	98000	13.80
2003	2	1	96200	22.02
1939	2	16	95700	14.30
1984	11	30	93900	21.63
1968	2	25	92800	20.53
1989	1	12	92400	21.44
1906	2	26	92000	13.20
2003	12	15	91200	21.38
1917	3	30	90500	12.50
1998	1	15	90500	21.28
1923	12	8	89200	13.40
2010	6	6	88900	20.93
2002	1	27	87100	20.83
1972	12	21	84900	20.45
1993	3	24	83500	20.27
1975	1	10	83200	20.23
1990	1	9	82300	20.11
2008	1	13	81700	19.95
1979	2	11	78700	19.60
1941	1	19	74400	11.70
1991	12	8	73800	18.83
1928	12	31	73600	11.60
1991	1	16	69600	18.17
2004	12	12	65700	17.79
1943	11	6	63700	10.24
1994	2	25	60800	16.74
2000	12	24	35700	12.68
1977	3	10	33100	12.01
