				
				
1869	10	4	135000	17
1902	3	1	98000	14.8
1932	3	28	33300	10.27
1933	8	24	96200	14.7
1934	9	30	44800	11.3
1935	7	9	82000	14.1
1936	1	3	49600	11.7
1936	12	20	17100	8.6
1938	9	21	37700	10.66
1939	2	3	42400	11.08
1940	3	15	49600	11.72
1940	11	15	22300	9.22
1942	8	9	71500	13.1
1942	12	30	47800	11.36
1943	11	9	45200	11.19
1945	9	19	54400	11.92
1946	6	2	94600	14.57
1947	5	26	17900	8.63
1948	5	13	31500	10.18
1948	12	30	54400	12
1950	3	23	31000	10.12
1950	11	25	89800	14.32
1952	4	28	53000	11.92
1952	11	22	60300	12.41
1953	12	14	23600	9.36
1955	8	19	90100	14.32
1955	10	15	33500	10.12
1957	4	6	32400	9.95
1958	2	28	33500	10.07
1959	1	22	16400	8.35
1960	9	12	51200	11.58
1961	2	26	22200	8.99
1962	3	12	28200	9.58
1963	3	6	25200	9.33
1964	1	9	22200	9
1965	2	8	29600	9.74
1966	2	14	30200	9.8
1967	3	7	47500	11.31
1968	6	12	29100	9.69
1969	7	29	38200	10.53
1970	4	2	45100	11.11
1971	9	13	70300	13.28
1972	6	23	103000	14.65
1973	6	29	50700	11.43
1973	12	21	51300	11.47
1975	7	14	40400	10.65
1976	1	28	61000	12.13
